$Proto-West Semitic,Jibbali
a̯ b a j t u m , uː t $house

ʔ a r b a ʕ t u , ɛ r b ə ʕ ɔ t $four

ʕ u m aː n u , ʕ uː n $'Uman

q a b a r a , q ɔː r $he has buried

χ a m i s u m , χ oː ʃ $five

j a w m u m , ɛː m $day
j i b a k k i , j ɔː k $he weeps
j i m a l l i k , j uː l ə k $he owns

s a b ʕ u m , s oː ʕ $seven
s a m i ʕ a , ʃ iː ʕ $he has heard
s a w q a ʕ a , ɛ b q a ʕ $he has placed 

ɬ uː r u m , ʃ ɛ b r $advice

l a b a n u m , l uː n $white

b a s a l a , b e ʃ ə l $he has cooked
m i n a , m ə n $from 
